GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSEC,SDSECA,SDUNIA,PUMA5A,NAME_E,RKYE001,RKYE002,RKYE003,RKYE004,RKYE005,RKYE006,RKYE007,RKYE008,RKYE009,RKYE010,RKYE011,RKYE012,RKYE013,RKYE014,RKYE015,RKYE016,RKYE017,RKYE018,RKYE019,RKYE020,RKYE021,RKYE022,RKYE023,RKYE024,RKYE025,RKYE026,RKYE027,RKYE028,RKYE029,RKYE030,RKYE031,RKYE032,RKYE033,RKYE034,RKYE035,RKYE036,RKYE037,RKYE038,RKYE039,RKYE040,RKYE041,RKYE042,RKYE043,RKYE044,RKYE045,RKYE046,RKYE047,RKYE048,RKYE049,RK9E001,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RKYM001,RKYM002,RKYM003,RKYM004,RKYM005,RKYM006,RKYM007,RKYM008,RKYM009,RKYM010,RKYM011,RKYM012,RKYM013,RKYM014,RKYM015,RKYM016,RKYM017,RKYM018,RKYM019,RKYM020,RKYM021,RKYM022,RKYM023,RKYM024,RKYM025,RKYM026,RKYM027,RKYM028,RKYM029,RKYM030,RKYM031,RKYM032,RKYM033,RKYM034,RKYM035,RKYM036,RKYM037,RKYM038,RKYM039,RKYM040,RKYM041,RKYM042,RKYM043,RKYM044,RKYM045,RKYM046,RKYM047,RKYM048,RKYM049,RK9M001,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25001710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Acton-Boxborough School District,1710,,,"Acton-Boxborough School District, Massachusetts",25878,12838,1065,898,1380,706,287,142,62,277,277,660,841,1455,1343,974,858,269,245,205,219,272,178,149,76,13040,676,1005,1342,794,194,123,58,218,417,636,1114,1386,1187,1303,769,233,353,181,246,213,214,162,216,25878,25878,20856,336,34,3904,0,230,518,113,405,"Acton-Boxborough School District, Massachusetts",42,330,249,155,172,156,92,74,39,103,118,177,180,181,175,174,153,80,80,87,83,96,69,67,46,331,158,151,238,161,82,65,52,88,120,147,225,195,169,175,140,86,102,76,80,95,60,60,92,42,42,552,160,27,479,127,134,192,99,172
G25001920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Amherst-Pelham School District,1920,,,"Amherst-Pelham School District, Massachusetts",41163,20600,481,613,594,477,3919,2420,2696,2034,712,606,691,680,746,863,1022,374,300,304,278,332,146,159,153,20563,525,593,823,562,4010,2639,1887,1491,537,627,653,799,882,1041,955,321,565,135,393,324,299,193,309,41163,41163,33684,1815,116,3434,0,1033,1081,246,835,"Amherst-Pelham School District, Massachusetts",329,623,130,135,134,104,502,516,529,438,154,138,137,142,145,171,163,83,93,113,86,95,55,70,58,672,138,124,150,109,464,599,386,338,148,154,160,166,184,177,138,87,134,55,105,95,104,74,126,329,329,621,285,68,429,127,335,243,142,204
G25002580,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Berlin-Boylston School District,2580,,,"Berlin-Boylston School District, Massachusetts",7160,3462,199,148,248,112,72,36,40,96,114,89,265,334,460,302,201,141,148,74,96,81,70,91,45,3698,191,257,248,262,71,12,29,109,59,122,262,374,376,303,311,68,93,84,103,148,86,41,89,7160,7160,6869,20,5,152,5,27,82,12,70,"Berlin-Boylston School District, Massachusetts",24,176,74,56,78,55,41,31,37,49,74,42,75,67,109,80,66,76,54,40,34,38,39,50,26,173,65,67,79,98,47,21,31,54,37,54,68,81,88,75,103,42,77,40,56,79,45,23,41,24,24,145,30,11,105,12,38,53,14,51
G25003870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Concord-Carlisle School District,3870,,,"Concord-Carlisle School District, Massachusetts",22383,11492,517,657,755,606,230,171,134,304,598,484,621,967,1200,1228,900,310,412,211,203,322,356,214,92,10891,510,998,943,530,110,13,104,206,156,217,488,1023,1053,1102,878,268,360,232,173,443,312,353,419,22383,22383,20421,663,19,794,0,119,367,15,352,"Concord-Carlisle School District, Massachusetts",26,309,133,164,163,127,88,83,82,123,141,133,119,178,178,166,165,94,111,99,76,99,110,69,55,311,125,156,188,133,61,19,89,111,80,70,128,145,157,173,141,88,106,84,66,126,100,100,130,26,26,406,117,22,320,127,100,168,26,162
G25004290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Dover-Sherborn School District,4290,,,"Dover-Sherborn School District, Massachusetts",9893,4788,276,399,511,219,213,0,80,93,134,105,153,487,431,390,376,161,181,30,103,158,106,121,61,5105,336,360,462,269,128,39,31,108,92,151,197,535,618,322,455,118,118,98,188,194,92,137,57,9893,9893,9100,11,0,493,0,105,184,16,168,"Dover-Sherborn School District, Massachusetts",43,215,75,99,121,91,88,127,50,68,70,61,60,77,110,102,135,76,64,27,57,52,47,54,36,215,132,129,128,106,67,36,34,83,56,56,66,74,114,87,94,55,49,44,75,54,71,67,39,43,43,260,20,127,190,127,117,99,25,97
G25004560,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset School District,4560,,,"Nauset School District, Massachusetts",24870,11494,421,527,602,358,217,107,128,234,260,327,541,713,626,978,1224,451,538,280,630,681,850,513,288,13376,275,465,410,409,147,138,45,404,343,335,585,831,857,1070,1456,476,836,575,561,1117,842,645,554,24870,24870,24197,137,25,227,0,67,217,0,217,"Nauset School District, Massachusetts",334,505,179,135,233,136,106,90,96,103,99,127,176,189,180,216,237,136,143,122,170,135,199,127,119,520,108,144,140,141,83,104,33,167,142,116,159,229,176,199,211,166,209,160,144,225,203,177,190,334,334,433,111,40,171,127,54,165,127,165
G25005070,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Freetown-Lakeville School District,5070,,,"Freetown-Lakeville School District, Massachusetts",19473,10045,629,740,805,597,222,132,52,404,490,418,711,1049,788,891,734,325,305,123,140,164,157,110,59,9428,598,529,713,531,158,130,176,247,395,423,777,1026,971,850,459,317,307,97,82,226,85,162,169,19473,19473,18553,430,24,131,0,189,146,27,119,"Freetown-Lakeville School District, Massachusetts",34,341,165,167,158,131,96,63,44,196,159,125,161,177,145,190,133,161,81,66,71,77,87,76,49,341,174,145,180,203,63,62,99,99,124,118,176,179,190,156,112,92,111,54,54,87,59,86,102,34,34,454,350,33,179,127,142,104,42,97
G25005100,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Frontier School District,5100,,,"Frontier School District, Massachusetts",12005,6093,349,351,350,271,238,75,242,268,268,327,415,411,545,618,475,146,193,56,73,146,117,78,81,5912,205,318,277,255,130,142,195,246,321,275,351,367,702,668,366,102,104,44,150,143,192,117,242,12005,12005,11299,52,37,257,0,99,261,39,222,"Frontier School District, Massachusetts",266,263,109,119,100,98,101,54,120,130,93,102,113,114,108,104,104,62,69,26,48,58,50,43,44,278,80,91,84,97,68,139,183,92,107,75,107,92,126,118,86,47,48,28,51,51,75,52,119,266,266,298,41,44,140,127,66,108,44,93
G25005740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Hampshire School District,5740,,,"Hampshire School District, Massachusetts",12382,6005,270,398,401,306,73,77,38,189,192,274,366,643,675,494,453,168,237,63,171,172,115,166,64,6377,215,369,386,253,362,90,33,167,133,280,514,577,690,527,582,176,240,143,119,189,122,75,135,12382,12382,12176,61,10,43,0,48,44,17,27,"Hampshire School District, Massachusetts",261,263,89,134,114,119,49,55,37,95,56,101,110,118,124,99,108,60,69,36,60,59,41,76,26,288,71,104,120,81,178,53,25,79,42,95,129,86,109,103,107,57,76,57,57,86,52,35,54,261,261,264,67,12,39,127,57,29,16,25
G25006510,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,King Philip School District,6510,,,"King Philip School District, Massachusetts",30241,16333,967,1107,1269,696,362,219,124,401,764,1010,1293,1599,1739,1594,1177,365,401,177,258,403,241,94,73,13908,939,965,1075,641,251,77,139,403,357,740,1197,1121,1380,1271,894,319,287,165,287,429,368,279,324,30241,30241,28080,993,38,342,3,436,349,45,304,"King Philip School District, Massachusetts",57,628,206,204,226,159,133,91,44,151,218,628,200,230,285,321,207,164,117,79,87,121,78,59,50,625,229,177,201,143,83,59,96,133,174,143,161,200,200,194,189,96,90,66,121,124,121,115,119,57,57,527,351,37,186,3,151,263,36,262
