GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
G25000014,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Chesterfield-Goshen School District,14,,,,"Chesterfield-Goshen School District, Massachusetts",894,26,27,21,39,25,9,37,53,37,113,92,210,91,35,36,43,"Chesterfield-Goshen School District, Massachusetts",85,21,19,22,30,15,8,23,23,17,44,37,75,36,18,29,30
G25000043,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Up-Island Regional School District,43,,,,"Up-Island Regional School District, Massachusetts",1464,94,40,72,100,43,27,36,44,89,88,147,206,147,79,95,157,"Up-Island Regional School District, Massachusetts",135,46,34,52,57,25,16,23,28,71,55,60,66,51,42,56,56
G25001680,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Acton School District,1680,,,,"Acton School District, Massachusetts",7388,154,178,87,126,143,225,397,226,116,330,569,712,791,834,989,1511,"Acton School District, Massachusetts",216,63,79,61,58,76,91,184,90,60,107,151,172,169,170,174,198
G25001740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Acushnet School District,1740,,,,"Acushnet School District, Massachusetts",3610,167,168,48,218,360,160,67,155,70,357,316,374,517,238,278,117,"Acushnet School District, Massachusetts",211,96,71,42,91,140,86,46,64,42,103,118,112,132,79,101,121
G25001890,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Amherst School District,1890,,,,"Amherst School District, Massachusetts",8902,896,803,741,568,376,449,322,349,200,432,554,919,708,458,527,600,"Amherst School District, Massachusetts",700,287,234,245,187,129,198,146,146,86,131,158,213,157,133,140,134
G25002520,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Berkley School District,2520,,,,"Berkley School District, Massachusetts",2020,7,88,43,60,89,39,29,36,87,125,218,413,353,249,120,64,"Berkley School District, Massachusetts",98,12,69,35,43,51,57,28,35,67,57,70,114,106,93,57,41
G25002550,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Berlin School District,2550,,,,"Berlin School District, Massachusetts",1057,20,6,14,52,67,7,34,24,47,53,69,220,120,110,119,95,"Berlin School District, Massachusetts",63,17,10,14,35,43,10,23,19,28,26,32,69,52,52,60,36
G25002850,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boxborough School District,2850,,,,"Boxborough School District, Massachusetts",1938,82,60,9,17,87,30,66,78,66,74,205,254,286,101,258,265,"Boxborough School District, Massachusetts",115,66,56,14,20,66,27,47,55,38,42,78,82,82,47,89,74
G25002880,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boxford School District,2880,,,,"Boxford School District, Massachusetts",2666,19,55,29,39,64,36,13,30,26,81,97,324,240,233,414,966,"Boxford School District, Massachusetts",154,27,68,33,34,55,33,22,34,30,53,63,134,87,93,132,169
G25002910,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boylston School District,2910,,,,"Boylston School District, Massachusetts",1697,56,0,24,64,9,78,136,62,61,77,161,277,230,135,83,244,"Boylston School District, Massachusetts",99,55,127,22,63,15,43,74,37,66,43,63,90,92,53,46,77
G25002970,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brewster School District,2970,,,,"Brewster School District, Massachusetts",4432,248,161,171,118,182,201,276,308,120,533,356,568,531,165,284,210,"Brewster School District, Massachusetts",236,124,84,70,84,82,90,97,143,57,134,99,115,124,68,119,84
G25003060,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brimfield School District,3060,,,,"Brimfield School District, Massachusetts",1428,31,44,30,13,42,119,103,95,45,36,164,294,236,82,62,32,"Brimfield School District, Massachusetts",138,33,37,34,20,34,64,89,60,43,39,90,89,102,58,47,37
G25003120,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brookfield School District,3120,,,,"Brookfield School District, Massachusetts",1343,0,69,59,56,111,50,46,41,9,193,132,312,115,89,45,16,"Brookfield School District, Massachusetts",94,127,37,40,34,58,37,40,29,14,100,66,97,63,60,41,20
G25003330,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Carlisle School District,3330,,,,"Carlisle School District, Massachusetts",1597,11,21,33,36,0,0,11,19,18,27,99,154,163,138,229,638,"Carlisle School District, Massachusetts",73,18,24,49,56,127,127,18,21,21,33,41,69,67,58,81,102
G25003720,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Clarksburg School District,3720,,,,"Clarksburg School District, Massachusetts",771,45,30,24,32,36,27,43,32,30,120,71,139,113,15,10,4,"Clarksburg School District, Massachusetts",47,22,17,13,14,17,15,18,15,17,36,25,34,52,16,8,6
G25003840,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Concord School District,3840,,,,"Concord School District, Massachusetts",5996,182,90,149,217,125,134,134,111,106,290,366,586,449,592,736,1729,"Concord School District, Massachusetts",285,71,56,70,77,79,73,70,53,60,103,126,147,122,138,161,196
G25003900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Conway School District,3900,,,,"Conway School District, Massachusetts",710,46,31,9,13,33,22,26,28,20,30,80,185,95,21,27,44,"Conway School District, Massachusetts",63,24,21,7,12,20,15,15,16,17,19,34,50,33,11,20,24
G25004080,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Deerfield School District,4080,,,,"Deerfield School District, Massachusetts",1931,93,90,68,52,65,44,35,128,85,254,188,211,325,121,86,86,"Deerfield School District, Massachusetts",135,59,77,53,44,43,53,34,86,56,114,103,85,115,65,53,57
G25004260,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Dover School District,4260,,,,"Dover School District, Massachusetts",1850,18,27,0,21,10,73,28,105,9,65,132,126,155,95,287,699,"Dover School District, Massachusetts",86,21,27,127,24,16,59,30,104,15,48,71,57,65,46,96,117
G25004530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Eastham School District,4530,,,,"Eastham School District, Massachusetts",2531,54,152,100,191,95,140,131,199,136,134,217,393,202,157,107,123,"Eastham School District, Massachusetts",170,43,104,77,116,72,85,57,113,80,69,78,150,117,90,70,78
G25004650,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Oak Bluffs School District,4650,,,,"Oak Bluffs School District, Massachusetts",1316,88,53,61,60,56,114,49,52,67,59,113,255,84,66,86,53,"Oak Bluffs School District, Massachusetts",171,83,39,61,44,63,75,42,41,54,59,73,129,45,92,64,51
G25004710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Erving School District,4710,,,,"Erving School District, Massachusetts",729,34,27,69,25,71,37,34,38,38,81,87,112,42,19,7,8,"Erving School District, Massachusetts",53,19,18,27,11,26,19,20,19,18,25,28,30,18,14,7,12
G25004920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Florida School District,4920,,,,"Florida School District, Massachusetts",375,25,15,4,18,35,19,27,28,7,46,50,73,19,9,0,0,"Florida School District, Massachusetts",54,16,12,7,19,17,19,21,19,7,19,24,37,15,8,127,127
G25005040,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Freetown School District,5040,,,,"Freetown School District, Massachusetts",3048,91,45,68,169,57,86,117,82,108,193,299,546,582,282,222,101,"Freetown School District, Massachusetts",181,57,38,46,79,40,62,74,47,81,74,97,146,116,104,74,46
G25005430,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Granville School District,5430,,,,"Granville School District, Massachusetts",586,12,19,22,7,10,31,18,20,29,63,66,143,61,48,17,20,"Granville School District, Massachusetts",45,9,12,16,6,7,20,11,13,14,25,25,36,21,22,11,13
G25005610,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Halifax School District,5610,,,,"Halifax School District, Massachusetts",2785,138,134,75,100,117,63,95,44,70,222,344,564,310,195,237,77,"Halifax School District, Massachusetts",190,72,80,78,66,75,43,52,39,45,107,128,143,110,82,103,50
G25005760,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Hancock School District,5760,,,,"Hancock School District, Massachusetts",265,4,3,25,11,5,9,22,4,4,31,45,40,25,10,13,14,"Hancock School District, Massachusetts",39,5,4,15,17,6,10,17,5,6,16,25,18,18,12,10,10
G25006000,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Hawlemont School District,6000,,,,"Hawlemont School District, Massachusetts",688,15,65,38,29,25,24,21,72,19,35,94,121,64,36,21,9,"Hawlemont School District, Massachusetts",64,18,32,19,20,12,12,10,35,11,17,32,40,27,20,13,7
