GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
"G04000004","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Clarkdale-Jerome Elementary District","00004",,,,"Clarkdale-Jerome Elementary District, Arizona",3300,"Clarkdale-Jerome Elementary District, Arizona",452
"G04000005","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Salome Consolidated Elementary District","00005",,,,"Salome Consolidated Elementary District, Arizona",1328,"Salome Consolidated Elementary District, Arizona",370
"G04000022","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Vernon Elementary District","00022",,,,"Vernon Elementary District, Arizona",1168,"Vernon Elementary District, Arizona",262
"G04000480","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Aguila Elementary District","00480",,,,"Aguila Elementary District, Arizona",725,"Aguila Elementary District, Arizona",231
"G04000600","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Alhambra Elementary District","00600",,,,"Alhambra Elementary District, Arizona",95088,"Alhambra Elementary District, Arizona",3399
"G04000630","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Alpine Elementary District","00630",,,,"Alpine Elementary District, Arizona",460,"Alpine Elementary District, Arizona",129
"G04000750","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Apache Elementary District","00750",,,,"Apache Elementary District, Arizona",60,"Apache Elementary District, Arizona",32
"G04000840","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Arlington Elementary District","00840",,,,"Arlington Elementary District, Arizona",1052,"Arlington Elementary District, Arizona",325
"G04000870","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Ash Creek Elementary District","00870",,,,"Ash Creek Elementary District, Arizona",1109,"Ash Creek Elementary District, Arizona",223
"G04000960","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Avondale Elementary District","00960",,,,"Avondale Elementary District, Arizona",41616,"Avondale Elementary District, Arizona",1630
