GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25000014,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Chesterfield-Goshen School District,14,,,,"Chesterfield-Goshen School District, Massachusetts",2246,2188,2,0,37,0,0,19,4,15,"Chesterfield-Goshen School District, Massachusetts",297,293,3,127,38,127,127,21,6,20
G25000043,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Up-Island Regional School District,43,,,,"Up-Island Regional School District, Massachusetts",3797,3285,107,252,0,0,37,116,46,70,"Up-Island Regional School District, Massachusetts",71,161,105,65,127,127,31,80,57,55
G25001680,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Acton School District,1680,,,,"Acton School District, Massachusetts",20777,16601,308,14,3231,0,223,400,84,316,"Acton School District, Massachusetts",38,545,155,18,476,127,133,176,90,154
G25001740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Acushnet School District,1740,,,,"Acushnet School District, Massachusetts",10372,9951,29,23,77,0,106,186,73,113,"Acushnet School District, Massachusetts",31,189,34,38,70,127,105,138,78,128
G25001890,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Amherst School District,1890,,,,"Amherst School District, Massachusetts",35971,28926,1782,112,3206,0,1010,935,230,705,"Amherst School District, Massachusetts",31,604,282,65,310,127,337,232,141,190
G25002520,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Berkley School District,2520,,,,"Berkley School District, Massachusetts",6409,6260,57,0,36,0,19,37,0,37,"Berkley School District, Massachusetts",20,119,67,127,33,127,30,44,127,44
G25002550,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Berlin School District,2550,,,,"Berlin School District, Massachusetts",2795,2679,20,0,29,5,4,58,12,46,"Berlin School District, Massachusetts",19,82,30,127,29,12,6,42,14,40
G25002850,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boxborough School District,2850,,,,"Boxborough School District, Massachusetts",5101,4255,28,20,673,0,7,118,29,89,"Boxborough School District, Massachusetts",19,162,26,19,139,127,10,78,34,70
G25002880,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boxford School District,2880,,,,"Boxford School District, Massachusetts",8175,7984,28,0,86,0,0,77,17,60,"Boxford School District, Massachusetts",29,123,46,127,68,127,127,66,23,62
G25002910,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Boylston School District,2910,,,,"Boylston School District, Massachusetts",4365,4190,0,5,123,0,23,24,0,24,"Boylston School District, Massachusetts",19,124,127,11,100,127,37,28,127,28
G25002970,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brewster School District,2970,,,,"Brewster School District, Massachusetts",10059,9683,137,25,38,0,16,160,0,160,"Brewster School District, Massachusetts",22,231,111,40,57,127,26,157,127,157
G25003060,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brimfield School District,3060,,,,"Brimfield School District, Massachusetts",3800,3764,15,0,0,0,21,0,0,0,"Brimfield School District, Massachusetts",26,46,23,127,127,127,32,127,127,127
G25003120,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Brookfield School District,3120,,,,"Brookfield School District, Massachusetts",3409,3366,12,0,16,0,10,5,0,5,"Brookfield School District, Massachusetts",19,42,19,127,25,127,16,9,127,9
G25003330,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Carlisle School District,3330,,,,"Carlisle School District, Massachusetts",4817,4324,16,0,371,0,0,106,0,106,"Carlisle School District, Massachusetts",28,191,17,127,159,127,127,119,127,119
G25003720,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Clarksburg School District,3720,,,,"Clarksburg School District, Massachusetts",1893,1861,9,4,0,0,0,19,0,19,"Clarksburg School District, Massachusetts",141,143,15,6,127,127,127,23,127,23
G25003840,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Concord School District,3840,,,,"Concord School District, Massachusetts",17566,16097,647,19,423,0,119,261,15,246,"Concord School District, Massachusetts",43,347,115,22,260,127,100,132,26,124
G25003900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Conway School District,3900,,,,"Conway School District, Massachusetts",1914,1842,9,20,5,0,9,29,16,13,"Conway School District, Massachusetts",191,179,14,30,7,127,12,34,28,19
G25004080,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Deerfield School District,4080,,,,"Deerfield School District, Massachusetts",4724,4545,22,0,64,0,0,93,23,70,"Deerfield School District, Massachusetts",14,119,28,127,72,127,127,70,34,63
G25004260,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Dover School District,4260,,,,"Dover School District, Massachusetts",5663,5112,11,0,278,0,94,168,0,168,"Dover School District, Massachusetts",39,216,20,127,119,127,116,97,127,97
G25004530,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Eastham School District,4530,,,,"Eastham School District, Massachusetts",5488,5358,0,0,109,0,0,21,0,21,"Eastham School District, Massachusetts",20,127,127,127,119,127,127,36,127,36
G25004650,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Oak Bluffs School District,4650,,,,"Oak Bluffs School District, Massachusetts",3835,2918,424,0,38,0,342,113,0,113,"Oak Bluffs School District, Massachusetts",15,224,213,127,51,127,191,94,127,94
G25004710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Erving School District,4710,,,,"Erving School District, Massachusetts",1863,1786,0,0,12,0,21,44,0,44,"Erving School District, Massachusetts",184,182,127,127,20,127,22,24,127,24
G25004920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Florida School District,4920,,,,"Florida School District, Massachusetts",966,903,57,0,0,0,0,6,0,6,"Florida School District, Massachusetts",173,153,58,127,127,127,127,8,127,8
