GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSEC,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
G25001710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Acton-Boxborough School District,1710,,,"Acton-Boxborough School District, Massachusetts",9326,236,238,96,143,230,255,463,304,182,404,774,966,1077,935,1247,1776,"Acton-Boxborough School District, Massachusetts",240,83,92,63,62,110,99,191,107,70,113,174,193,193,185,198,217
G25001920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Amherst-Pelham School District,1920,,,"Amherst-Pelham School District, Massachusetts",10874,962,840,782,617,452,506,387,458,297,624,756,1260,908,568,711,746,"Amherst-Pelham School District, Massachusetts",714,288,236,247,188,132,197,147,160,100,142,161,216,168,135,160,137
G25002580,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Berlin-Boylston School District,2580,,,"Berlin-Boylston School District, Massachusetts",2754,76,6,38,116,76,85,170,86,108,130,230,497,350,245,202,339,"Berlin-Boylston School District, Massachusetts",123,57,10,26,72,45,46,79,46,69,51,69,120,104,69,84,84
G25003870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Concord-Carlisle School District,3870,,,"Concord-Carlisle School District, Massachusetts",7593,193,111,182,253,125,134,145,130,124,317,465,740,612,730,965,2367,"Concord-Carlisle School District, Massachusetts",309,70,63,80,90,79,73,73,62,65,98,130,170,138,148,175,222
G25004290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Dover-Sherborn School District,4290,,,"Dover-Sherborn School District, Massachusetts",3299,49,39,22,32,41,90,52,134,46,95,193,294,251,216,458,1287,"Dover-Sherborn School District, Massachusetts",113,35,34,26,29,51,62,39,111,31,61,81,96,92,77,117,178
G25004560,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset School District,4560,,,"Nauset School District, Massachusetts",11761,510,632,476,531,436,552,741,676,449,1123,1048,1704,1029,564,729,561,"Nauset School District, Massachusetts",453,237,184,129,199,133,154,258,199,165,255,210,273,181,166,201,160
G25005070,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Freetown-Lakeville School District,5070,,,"Freetown-Lakeville School District, Massachusetts",6484,180,109,112,256,142,220,183,144,202,351,575,1313,1004,735,645,313,"Freetown-Lakeville School District, Massachusetts",205,84,65,62,94,84,101,86,64,108,97,127,229,175,165,175,89
G25005100,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Frontier School District,5100,,,"Frontier School District, Massachusetts",4829,205,249,247,125,245,114,126,324,204,476,545,723,635,200,209,202,"Frontier School District, Massachusetts",226,75,107,101,65,90,68,52,110,75,160,131,137,141,74,77,86
G25005740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Hampshire School District,5740,,,"Hampshire School District, Massachusetts",4923,151,181,127,182,163,112,157,217,213,448,486,1073,662,315,226,210,"Hampshire School District, Massachusetts",176,58,77,57,69,73,42,59,75,82,115,119,155,161,88,83,76
G25006510,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,King Philip School District,6510,,,"King Philip School District, Massachusetts",9747,297,176,326,228,195,222,314,267,359,562,1121,1249,1153,1031,1027,1220,"King Philip School District, Massachusetts",497,115,73,114,84,86,88,144,121,117,171,210,235,226,181,191,182
G25006930,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Lincoln-Sudbury School District,6930,,,"Lincoln-Sudbury School District, Massachusetts",8142,206,124,21,136,112,193,167,53,141,352,537,595,867,827,1212,2599,"Lincoln-Sudbury School District, Massachusetts",210,96,72,23,105,66,90,80,41,82,107,148,150,171,156,214,242
G25007380,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Martha's Vineyard School District,7380,,,"Martha's Vineyard School District, Massachusetts",5556,352,204,201,276,200,349,197,222,225,454,492,897,505,338,292,352,"Martha's Vineyard School District, Massachusetts",384,105,73,103,102,77,144,94,85,106,143,140,189,135,144,117,118
G25007410,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Masconomet School District,7410,,,"Masconomet School District, Massachusetts",7566,139,204,183,139,295,169,198,160,166,322,497,968,842,672,937,1675,"Masconomet School District, Massachusetts",280,72,106,90,70,142,116,95,98,86,98,128,206,163,163,171,200
G25008160,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mount Greylock School District,8160,,,"Mount Greylock School District, Massachusetts",4154,203,241,162,217,137,168,218,151,113,377,440,525,375,268,306,253,"Mount Greylock School District, Massachusetts",312,86,84,72,85,70,67,101,75,47,109,105,110,120,90,91,93
G25008910,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Northborough-Southborough School District,8910,,,"Northborough-Southborough School District, Massachusetts",8327,244,194,238,206,209,100,113,221,283,263,741,944,1077,789,1225,1480,"Northborough-Southborough School District, Massachusetts",223,95,91,93,92,104,57,63,106,133,100,136,171,193,159,224,218
G25009150,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Old Rochester School District,9150,,,"Old Rochester School District, Massachusetts",6330,171,179,200,136,152,297,183,158,157,375,642,1101,802,561,600,616,"Old Rochester School District, Massachusetts",219,109,81,86,86,71,117,95,79,66,126,133,235,158,139,150,149
G25009900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Ralph C. Mahar School District,9900,,,"Ralph C. Mahar School District, Massachusetts",4482,278,355,328,163,269,288,274,192,237,491,610,452,218,224,83,20,"Ralph C. Mahar School District, Massachusetts",199,129,124,113,74,111,104,112,70,74,139,118,103,75,103,35,18
G25010830,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Silver Lake School District,10830,,,"Silver Lake School District, Massachusetts",8055,351,304,149,240,291,178,346,157,315,592,885,1349,896,706,781,515,"Silver Lake School District, Massachusetts",298,127,125,94,106,144,90,131,74,110,174,180,209,179,188,165,118
G25011490,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Tantasqua School District,11490,,,"Tantasqua School District, Massachusetts",8110,264,287,322,348,250,353,331,367,319,534,932,1349,1167,532,461,294,"Tantasqua School District, Massachusetts",221,111,104,122,108,81,90,124,139,110,158,178,197,193,124,106,103
G25022222,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Trail Regional School District in Hawley and Charlemont towns,22222,,,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",688,15,65,38,29,25,24,21,72,19,35,94,121,64,36,21,9,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",64,18,32,19,20,12,12,10,35,11,17,32,40,27,20,13,7
G25025001,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Somerset School District in Berkley (9-12),25001,,,"Somerset School District in Berkley (9-12), Massachusetts",2020,7,88,43,60,89,39,29,36,87,125,218,413,353,249,120,64,"Somerset School District in Berkley (9-12), Massachusetts",98,12,69,35,43,51,57,28,35,67,57,70,114,106,93,57,41
G25025002,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Clarksburg (9-12),25002,,,"North Adams School District in Clarksburg (9-12), Massachusetts",771,45,30,24,32,36,27,43,32,30,120,71,139,113,15,10,4,"North Adams School District in Clarksburg (9-12), Massachusetts",47,22,17,13,14,17,15,18,15,17,36,25,34,52,16,8,6
G25025003,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Gill-Montague School District in Erving (7-12),25003,,,"Gill-Montague School District in Erving (7-12), Massachusetts",729,34,27,69,25,71,37,34,38,38,81,87,112,42,19,7,8,"Gill-Montague School District in Erving (7-12), Massachusetts",53,19,18,27,11,26,19,20,19,18,25,28,30,18,14,7,12
G25025004,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Southwick-Tolland School District in Granville (9-12),25004,,,"Southwick-Tolland School District in Granville (9-12), Massachusetts",586,12,19,22,7,10,31,18,20,29,63,66,143,61,48,17,20,"Southwick-Tolland School District in Granville (9-12), Massachusetts",45,9,12,16,6,7,20,11,13,14,25,25,36,21,22,11,13
