GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSEC,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
"G04000082","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Colorado River Union High School District","00082",,,"Colorado River Union High School District, Arizona",62309,"Colorado River Union High School District, Arizona",942
"G04000450","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Agua Fria Union High School District","00450",,,"Agua Fria Union High School District, Arizona",103200,"Agua Fria Union High School District, Arizona",2371
"G04000720","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Antelope Union High School District","00720",,,"Antelope Union High School District, Arizona",5603,"Antelope Union High School District, Arizona",507
"G04001160","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Bicentennial Union High School District","01160",,,"Bicentennial Union High School District, Arizona",7912,"Bicentennial Union High School District, Arizona",523
"G04001410","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Buckeye Union High School District","01410",,,"Buckeye Union High School District, Arizona",52309,"Buckeye Union High School District, Arizona",1415
"G04001740","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Casa Grande Union High School District","01740",,,"Casa Grande Union High School District, Arizona",69070,"Casa Grande Union High School District, Arizona",1639
"G04003450","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Glendale Union High School District","03450",,,"Glendale Union High School District, Arizona",361673,"Glendale Union High School District, Arizona",4991
"G04004001","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Apache County High School District","04001",,,"Apache County High School District, Arizona",3945,"Apache County High School District, Arizona",570
"G04004003","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Cochise County High School District","04003",,,"Cochise County High School District, Arizona",14464,"Cochise County High School District, Arizona",882
"G04004005","2005-2009",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Coconino County High School District","04005",,,"Coconino County High School District, Arizona",1425,"Coconino County High School District, Arizona",230
