GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JLZE001,JLZE002,JLZE003,JLZE004,JLZE005,JLZE006,JLZE007,JLZE008,JLZE009,JLZE010,JLZE011,JLZE012,JLZE013,JLZE014,JLZE015,JLZE016,JLZE017,JLZE018,JLZE019,JLZE020,JLZE021,JLZE022,JLZE023,JLZE024,JLZE025,JLZE026,JLZE027,JLZE028,JLZE029,JLZE030,JLZE031,JLZE032,JLZE033,JLZE034,JLZE035,JLZE036,JLZE037,JLZE038,JLZE039,JLZE040,JLZE041,JLZE042,JLZE043,JLZE044,JLZE045,JLZE046,JLZE047,JLZE048,JLZE049,JMAE001,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JLZM001,JLZM002,JLZM003,JLZM004,JLZM005,JLZM006,JLZM007,JLZM008,JLZM009,JLZM010,JLZM011,JLZM012,JLZM013,JLZM014,JLZM015,JLZM016,JLZM017,JLZM018,JLZM019,JLZM020,JLZM021,JLZM022,JLZM023,JLZM024,JLZM025,JLZM026,JLZM027,JLZM028,JLZM029,JLZM030,JLZM031,JLZM032,JLZM033,JLZM034,JLZM035,JLZM036,JLZM037,JLZM038,JLZM039,JLZM040,JLZM041,JLZM042,JLZM043,JLZM044,JLZM045,JLZM046,JLZM047,JLZM048,JLZM049,JMAM001,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G2500010,2006-2010,,,Massachusetts,25,Barnstable County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable County, Massachusetts",217483,103643,4671,5140,6008,4181,2741,1093,1251,2942,4237,4133,5322,6743,8260,8311,8084,3448,4466,2528,3690,5520,5172,3432,2270,113840,4560,5054,5577,3794,1957,825,1029,2508,4219,4314,6546,6818,8913,9175,9537,3758,5418,3228,4288,6501,6436,4963,4422,217483,217483,204225,4182,988,2250,16,2002,3820,482,3338,"Barnstable County, Massachusetts",0,154,92,402,407,99,142,225,253,339,166,163,403,437,151,119,413,334,408,287,316,335,308,282,259,154,126,398,418,115,102,205,222,246,233,161,444,416,132,117,436,362,375,290,283,326,358,393,405,0,0,463,415,255,177,28,428,596,219,571
G2500030,2006-2010,,,Massachusetts,25,Berkshire County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkshire County, Massachusetts",131528,63083,3073,3429,3940,2735,1980,1084,744,2416,3247,3122,3788,4349,5065,5119,4788,1708,2454,1238,1716,2276,1999,1709,1104,68445,3060,3688,3585,2828,1858,1051,927,2092,3273,3215,3987,4481,5488,5469,5086,1776,2589,1529,1930,2668,2903,2348,2614,131528,131528,122638,3535,248,1539,49,961,2558,470,2088,"Berkshire County, Massachusetts",0,112,38,319,321,90,96,214,154,251,132,185,354,339,74,113,293,190,248,185,163,200,202,191,163,112,55,258,266,97,86,196,190,210,143,122,308,299,110,95,269,203,243,173,231,223,277,243,252,0,0,389,246,80,145,44,334,345,171,356
G2500050,2006-2010,,,Massachusetts,25,Bristol County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol County, Massachusetts",546433,264459,16110,17544,18170,11989,8108,3115,4153,10580,16177,15782,18705,21167,21483,19641,16067,6529,8294,4275,5310,7189,6248,4519,3304,281974,15565,16977,17070,11339,7770,4394,4012,9211,16385,16748,19655,21748,22459,20572,18047,6949,8201,4987,6047,8830,8223,7718,9067,546433,546433,490837,18269,882,9936,136,14959,11414,2960,8454,"Bristol County, Massachusetts",0,115,35,693,699,117,40,431,458,505,47,42,808,830,57,48,541,508,492,369,403,382,386,366,287,115,34,606,587,36,54,371,377,472,66,50,814,811,80,33,560,398,518,351,400,408,417,424,431,0,0,1477,950,248,399,163,1436,1015,476,801
G2500070,2006-2010,,,Massachusetts,25,Dukes County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dukes County, Massachusetts",16155,7982,442,280,587,310,439,82,86,586,143,633,240,453,526,767,591,263,471,92,265,254,182,222,68,8173,428,408,379,316,125,10,70,309,445,345,599,530,687,717,858,196,326,253,185,268,257,241,221,16155,16155,14151,559,284,55,0,845,261,8,253,"Dukes County, Massachusetts",0,0,0,126,125,0,263,114,115,315,101,231,103,209,191,258,135,110,162,60,116,108,58,65,50,0,0,99,99,0,88,16,71,174,187,133,148,148,0,0,152,82,155,105,72,93,74,76,73,0,0,682,380,142,56,127,632,147,11,146
G2500090,2006-2010,,,Massachusetts,25,Essex County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex County, Massachusetts",735642,353259,22410,24175,25702,16797,9988,5000,4799,12300,20295,19669,22657,28372,29553,27514,23341,8701,10517,5714,6831,9720,8501,5672,5031,382383,21216,22049,25559,15950,9553,4469,4394,12962,20852,21156,26093,29288,32086,29717,25063,9801,11766,6133,8043,12750,10742,10657,12084,735642,735642,603325,24472,1130,22999,348,69537,13831,3326,10505,"Essex County, Massachusetts",0,138,49,935,937,71,40,416,493,482,44,74,814,799,67,61,721,527,588,456,457,465,385,333,381,138,75,632,643,40,129,492,487,596,40,57,833,839,66,43,715,557,618,430,519,530,527,466,504,0,0,2387,908,266,544,54,2452,1198,577,1028
G2500110,2006-2010,,,Massachusetts,25,Franklin County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Massachusetts",71523,35066,1824,2112,2084,1598,913,500,417,1261,1951,1762,2236,2406,2880,3153,2904,1169,1375,708,820,967,774,712,540,36457,1620,1666,2197,1421,894,405,348,1197,1841,1869,2244,2673,3139,3303,3223,946,1471,730,692,1308,1198,981,1091,71523,71523,67760,834,180,880,0,502,1367,182,1185,"Franklin County, Massachusetts",0,110,38,192,174,81,58,156,123,173,82,101,215,229,58,82,169,169,169,108,99,111,122,122,96,110,43,176,183,52,81,114,106,155,53,87,217,223,41,67,196,124,166,129,112,138,141,115,144,0,0,180,148,88,87,127,144,184,99,162
G2500130,2006-2010,,,Massachusetts,25,Hampden County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden County, Massachusetts",462270,222050,14025,14769,16771,11243,8050,4535,3449,8312,13631,12060,14055,15710,17003,16512,14662,4520,6463,3787,4416,5534,5051,4229,3263,240220,13605,15352,15070,10473,7515,3451,3340,9433,14215,13473,14630,17371,18363,17319,15426,5634,7051,4072,5032,7605,7126,6810,7854,462270,462270,361504,39729,1307,8748,50,41269,9663,2706,6957,"Hampden County, Massachusetts",0,65,10,634,628,18,42,465,361,475,114,13,603,610,64,56,550,373,509,318,326,355,323,333,325,65,3,566,567,20,107,416,425,499,35,49,600,603,124,119,560,470,453,347,360,387,420,463,456,0,0,2122,948,387,348,48,2049,943,548,878
G2500150,2006-2010,,,Massachusetts,25,Hampshire County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampshire County, Massachusetts",157326,73568,3219,3848,4040,2797,4727,3139,3030,4040,4045,3639,4036,4889,5283,5478,5235,1745,2267,1146,1408,1899,1421,1255,982,83758,3063,3675,4090,2652,6946,4166,3780,4099,4102,3963,4545,5467,6028,5897,5637,1805,2645,1041,1650,2364,2106,2037,2000,157326,157326,140572,3621,217,7096,35,2271,3514,603,2911,"Hampshire County, Massachusetts",0,209,61,307,307,60,181,453,454,453,69,75,316,309,115,114,249,210,209,158,180,203,188,196,147,209,63,291,290,59,244,431,335,527,64,62,303,326,97,58,295,208,269,155,219,203,218,227,240,0,0,475,301,71,212,36,505,445,194,383
G2500170,2006-2010,,,Massachusetts,25,Middlesex County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlesex County, Massachusetts",1479491,719329,43273,45435,45131,29374,21244,10440,10225,29453,54617,51126,51989,56920,58421,52629,44860,14908,19980,11021,13227,18682,15643,11813,8918,760162,41562,44602,42260,27830,20384,9704,9791,29700,55121,50820,52277,60043,60622,55554,47354,18220,21938,12606,15529,23746,21215,18475,20809,1479491,1479491,1206119,64967,1997,132331,623,43850,29604,5537,24067,"Middlesex County, Massachusetts",0,99,32,1029,1029,69,129,700,876,854,90,4,971,979,46,3,821,670,775,511,528,617,542,578,496,99,46,1078,1085,49,89,683,756,823,41,83,1296,1283,31,42,1004,849,870,560,745,881,767,606,821,0,0,2721,1288,409,1192,137,2763,1831,724,1774
G2500190,2006-2010,,,Massachusetts,25,Nantucket County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nantucket County, Massachusetts",10069,5181,306,303,276,145,108,25,84,86,291,516,592,602,381,356,330,65,221,77,93,121,83,78,42,4888,343,253,335,138,85,87,32,160,213,422,466,334,406,380,339,75,176,48,99,169,59,109,160,10069,10069,8925,676,0,96,0,9,363,0,363,"Nantucket County, Massachusetts",0,309,81,100,104,71,78,32,71,64,10,270,179,170,21,26,84,41,78,44,49,58,78,65,24,309,63,99,108,71,80,59,48,83,103,134,169,93,80,23,99,46,76,31,37,45,50,32,57,0,0,362,420,127,31,127,26,295,127,295
