GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
G2500010,2006-2010,,,Massachusetts,25,Barnstable County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable County, Massachusetts",98164,4781,4159,4301,4393,4190,5057,4673,5250,3781,8186,11293,14044,8906,5170,5390,4590,"Barnstable County, Massachusetts",1196,534,467,435,447,468,505,495,568,349,599,515,893,635,552,447,413
G2500030,2006-2010,,,Massachusetts,25,Berkshire County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkshire County, Massachusetts",55623,4291,3857,3241,3157,2787,3272,2587,2995,2144,4617,6249,6886,3950,1969,1928,1693,"Berkshire County, Massachusetts",649,376,406,360,396,324,390,338,370,267,407,472,433,320,307,220,241
G2500050,2006-2010,,,Massachusetts,25,Bristol County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol County, Massachusetts",210789,15181,13957,11813,10846,8663,9611,8715,8874,8792,16821,20634,27738,20092,11583,10716,6753,"Bristol County, Massachusetts",1269,792,741,722,667,650,856,615,717,533,837,905,947,875,602,652,482
G2500070,2006-2010,,,Massachusetts,25,Dukes County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dukes County, Massachusetts",5530,325,180,212,289,211,232,187,305,236,458,464,952,468,316,285,410,"Dukes County, Massachusetts",401,125,76,108,98,77,122,77,136,92,136,132,180,110,113,104,134
G2500090,2006-2010,,,Massachusetts,25,Essex County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex County, Massachusetts",282913,19903,15108,11956,11721,11391,12212,9949,10369,10414,20332,27341,35667,28420,18403,19618,20109,"Essex County, Massachusetts",1273,913,972,745,724,747,621,675,654,754,894,1100,1104,1015,826,1032,865
G2500110,2006-2010,,,Massachusetts,25,Franklin County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Massachusetts",30447,1713,2022,1896,1235,1423,1745,1534,1708,1407,2517,3696,4326,2302,1414,856,653,"Franklin County, Massachusetts",429,214,296,253,204,210,268,254,236,203,266,301,326,204,184,123,115
G2500130,2006-2010,,,Massachusetts,25,Hampden County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden County, Massachusetts",177725,17587,12753,11307,9915,8678,8813,7979,7878,7196,13804,17275,23082,14042,7213,5755,4448,"Hampden County, Massachusetts",1188,1001,836,749,663,689,596,644,603,487,663,877,990,681,468,451,365
G2500150,2006-2010,,,Massachusetts,25,Hampshire County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampshire County, Massachusetts",58612,3729,3496,2564,2596,2305,2751,2443,2750,2294,4556,5701,9169,6198,3034,2809,2217,"Hampshire County, Massachusetts",1002,422,441,359,306,301,384,321,332,312,398,451,568,415,283,309,255
G2500170,2006-2010,,,Massachusetts,25,Middlesex County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlesex County, Massachusetts",572847,29115,22905,19066,19810,18112,18868,18692,21155,17753,37458,54655,79141,62963,44562,52329,56263,"Middlesex County, Massachusetts",2373,1029,1128,904,881,965,1011,1094,940,939,1257,1563,1826,1433,1459,1479,1542
G2500190,2006-2010,,,Massachusetts,25,Nantucket County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nantucket County, Massachusetts",3623,165,109,67,147,114,91,148,44,121,159,358,625,338,416,200,521,"Nantucket County, Massachusetts",326,73,74,44,79,63,68,102,37,84,73,162,202,114,173,91,131
