GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G2500010,2006-2010,,,Massachusetts,25,Barnstable County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable County, Massachusetts",217483,"Barnstable County, Massachusetts",0
G2500030,2006-2010,,,Massachusetts,25,Berkshire County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkshire County, Massachusetts",131528,"Berkshire County, Massachusetts",0
G2500050,2006-2010,,,Massachusetts,25,Bristol County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol County, Massachusetts",546433,"Bristol County, Massachusetts",0
G2500070,2006-2010,,,Massachusetts,25,Dukes County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dukes County, Massachusetts",16155,"Dukes County, Massachusetts",0
G2500090,2006-2010,,,Massachusetts,25,Essex County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex County, Massachusetts",735642,"Essex County, Massachusetts",0
G2500110,2006-2010,,,Massachusetts,25,Franklin County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Massachusetts",71523,"Franklin County, Massachusetts",0
G2500130,2006-2010,,,Massachusetts,25,Hampden County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden County, Massachusetts",462270,"Hampden County, Massachusetts",0
G2500150,2006-2010,,,Massachusetts,25,Hampshire County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampshire County, Massachusetts",157326,"Hampshire County, Massachusetts",0
G2500170,2006-2010,,,Massachusetts,25,Middlesex County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlesex County, Massachusetts",1479491,"Middlesex County, Massachusetts",0
G2500190,2006-2010,,,Massachusetts,25,Nantucket County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nantucket County, Massachusetts",10069,"Nantucket County, Massachusetts",0
G2500210,2006-2010,,,Massachusetts,25,Norfolk County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norfolk County, Massachusetts",662077,"Norfolk County, Massachusetts",0
G2500230,2006-2010,,,Massachusetts,25,Plymouth County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth County, Massachusetts",490784,"Plymouth County, Massachusetts",0
G2500250,2006-2010,,,Massachusetts,25,Suffolk County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suffolk County, Massachusetts",704460,"Suffolk County, Massachusetts",0
G2500270,2006-2010,,,Massachusetts,25,Worcester County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester County, Massachusetts",791855,"Worcester County, Massachusetts",0
