GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
G250001000000,2006-2010,,,Massachusetts,25,Barnstable County,1,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Barnstable County, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Barnstable County, Massachusetts",127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
G250001003690,2006-2010,,,Massachusetts,25,Barnstable County,1,Barnstable Town City,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town City, Barnstable County, Massachusetts",20380,1166,685,781,821,874,1037,1081,885,666,1752,2369,3422,1877,833,1115,1016,"Barnstable Town City, Barnstable County, Massachusetts",470,243,166,198,179,221,281,248,200,183,295,283,470,301,179,209,185
G250001007175,2006-2010,,,Massachusetts,25,Barnstable County,1,Bourne Town,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bourne Town, Barnstable County, Massachusetts",7730,388,415,391,438,201,269,484,337,255,531,948,1134,725,459,443,312,"Bourne Town, Barnstable County, Massachusetts",346,147,149,139,154,77,95,158,144,81,140,204,203,172,141,133,89
G250001007980,2006-2010,,,Massachusetts,25,Barnstable County,1,Brewster Town,7980,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brewster Town, Barnstable County, Massachusetts",4453,269,123,220,94,166,191,168,317,186,592,349,482,671,225,207,193,"Brewster Town, Barnstable County, Massachusetts",218,133,66,93,56,95,91,93,118,83,160,100,129,151,93,88,69
G250001012995,2006-2010,,,Massachusetts,25,Barnstable County,1,Chatham Town,12995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham Town, Barnstable County, Massachusetts",2909,151,39,60,98,69,126,152,214,110,274,324,365,265,168,215,279,"Chatham Town, Barnstable County, Massachusetts",209,62,29,38,47,46,75,90,104,53,92,103,97,67,73,77,91
G250001016775,2006-2010,,,Massachusetts,25,Barnstable County,1,Dennis Town,16775,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dennis Town, Barnstable County, Massachusetts",7007,386,244,389,410,509,383,342,462,341,524,736,898,533,294,366,190,"Dennis Town, Barnstable County, Massachusetts",252,125,86,145,124,134,128,115,151,125,137,145,200,143,100,120,76
G250001019295,2006-2010,,,Massachusetts,25,Barnstable County,1,Eastham Town,19295,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastham Town, Barnstable County, Massachusetts",2497,21,134,117,225,92,69,158,248,91,98,290,356,210,139,130,119,"Eastham Town, Barnstable County, Massachusetts",149,24,95,96,121,72,57,80,108,72,54,100,126,88,89,84,85
G250001023105,2006-2010,,,Massachusetts,25,Barnstable County,1,Falmouth Town,23105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Falmouth Town, Barnstable County, Massachusetts",14575,733,654,734,692,494,741,580,592,611,1180,1849,1942,1289,862,901,721,"Falmouth Town, Barnstable County, Massachusetts",393,210,182,185,175,112,180,196,190,168,212,264,247,215,180,207,148
G250001029020,2006-2010,,,Massachusetts,25,Barnstable County,1,Harwich Town,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harwich Town, Barnstable County, Massachusetts",5700,295,265,381,237,176,368,229,303,224,574,618,767,465,332,292,174,"Harwich Town, Barnstable County, Massachusetts",234,117,108,130,75,93,133,102,112,88,143,141,156,151,95,98,76
G250001039100,2006-2010,,,Massachusetts,25,Barnstable County,1,Mashpee Town,39100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mashpee Town, Barnstable County, Massachusetts",5925,210,204,225,300,184,296,375,374,202,466,726,958,501,311,296,297,"Mashpee Town, Barnstable County, Massachusetts",240,104,86,112,97,108,123,142,139,80,152,179,194,133,92,108,77
