GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G250001000000,2006-2010,,,Massachusetts,25,Barnstable County,1,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Barnstable County, Massachusetts",0,"County subdivisions not defined, Barnstable County, Massachusetts",127
G250001003690,2006-2010,,,Massachusetts,25,Barnstable County,1,Barnstable Town city,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town city, Barnstable County, Massachusetts",45775,"Barnstable Town city, Barnstable County, Massachusetts",27
G250001007175,2006-2010,,,Massachusetts,25,Barnstable County,1,Bourne town,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bourne town, Barnstable County, Massachusetts",19577,"Bourne town, Barnstable County, Massachusetts",23
G250001007980,2006-2010,,,Massachusetts,25,Barnstable County,1,Brewster town,7980,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brewster town, Barnstable County, Massachusetts",9891,"Brewster town, Barnstable County, Massachusetts",34
G250001012995,2006-2010,,,Massachusetts,25,Barnstable County,1,Chatham town,12995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham town, Barnstable County, Massachusetts",6221,"Chatham town, Barnstable County, Massachusetts",35
G250001016775,2006-2010,,,Massachusetts,25,Barnstable County,1,Dennis town,16775,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dennis town, Barnstable County, Massachusetts",14557,"Dennis town, Barnstable County, Massachusetts",27
G250001019295,2006-2010,,,Massachusetts,25,Barnstable County,1,Eastham town,19295,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastham town, Barnstable County, Massachusetts",5060,"Eastham town, Barnstable County, Massachusetts",17
G250001023105,2006-2010,,,Massachusetts,25,Barnstable County,1,Falmouth town,23105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Falmouth town, Barnstable County, Massachusetts",31796,"Falmouth town, Barnstable County, Massachusetts",27
G250001029020,2006-2010,,,Massachusetts,25,Barnstable County,1,Harwich town,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harwich town, Barnstable County, Massachusetts",12291,"Harwich town, Barnstable County, Massachusetts",19
G250001039100,2006-2010,,,Massachusetts,25,Barnstable County,1,Mashpee town,39100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mashpee town, Barnstable County, Massachusetts",13850,"Mashpee town, Barnstable County, Massachusetts",22
G250001051440,2006-2010,,,Massachusetts,25,Barnstable County,1,Orleans town,51440,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orleans town, Barnstable County, Massachusetts",5981,"Orleans town, Barnstable County, Massachusetts",23
G250001055500,2006-2010,,,Massachusetts,25,Barnstable County,1,Provincetown town,55500,,,,,,,,,,,,,,,,,,,,,,,,,,,"Provincetown town, Barnstable County, Massachusetts",3039,"Provincetown town, Barnstable County, Massachusetts",19
G250001059735,2006-2010,,,Massachusetts,25,Barnstable County,1,Sandwich town,59735,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandwich town, Barnstable County, Massachusetts",20628,"Sandwich town, Barnstable County, Massachusetts",24
G250001070605,2006-2010,,,Massachusetts,25,Barnstable County,1,Truro town,70605,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truro town, Barnstable County, Massachusetts",1831,"Truro town, Barnstable County, Massachusetts",251
G250001074385,2006-2010,,,Massachusetts,25,Barnstable County,1,Wellfleet town,74385,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wellfleet town, Barnstable County, Massachusetts",2946,"Wellfleet town, Barnstable County, Massachusetts",251
G250001082525,2006-2010,,,Massachusetts,25,Barnstable County,1,Yarmouth town,82525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yarmouth town, Barnstable County, Massachusetts",24040,"Yarmouth town, Barnstable County, Massachusetts",30
G250003000555,2006-2010,,,Massachusetts,25,Berkshire County,3,Adams town,555,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams town, Berkshire County, Massachusetts",8517,"Adams town, Berkshire County, Massachusetts",19
