GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G250001000000,2006-2010,,,Massachusetts,25,Barnstable County,1,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Barnstable County, Massachusetts",0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Barnstable County, Massachusetts",127,127,127,127,127,127,127,127,127,127
G250001003690,2006-2010,,,Massachusetts,25,Barnstable County,1,Barnstable Town city,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town city, Barnstable County, Massachusetts",45775,41619,1498,378,441,0,864,975,176,799,"Barnstable Town city, Barnstable County, Massachusetts",27,625,295,225,180,127,407,298,105,293
G250001007175,2006-2010,,,Massachusetts,25,Barnstable County,1,Bourne town,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bourne town, Barnstable County, Massachusetts",19577,18749,151,58,119,0,146,354,0,354,"Bourne town, Barnstable County, Massachusetts",23,306,98,62,71,127,94,222,127,222
G250001007980,2006-2010,,,Massachusetts,25,Barnstable County,1,Brewster town,7980,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brewster town, Barnstable County, Massachusetts",9891,9555,137,25,0,0,15,159,0,159,"Brewster town, Barnstable County, Massachusetts",34,255,112,36,127,127,25,168,127,168
G250001012995,2006-2010,,,Massachusetts,25,Barnstable County,1,Chatham town,12995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham town, Barnstable County, Massachusetts",6221,5739,370,15,38,0,0,59,0,59,"Chatham town, Barnstable County, Massachusetts",35,240,237,25,33,127,127,47,127,47
G250001016775,2006-2010,,,Massachusetts,25,Barnstable County,1,Dennis town,16775,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dennis town, Barnstable County, Massachusetts",14557,13441,615,47,82,0,38,334,81,253,"Dennis town, Barnstable County, Massachusetts",27,432,437,42,57,127,41,235,145,188
G250001019295,2006-2010,,,Massachusetts,25,Barnstable County,1,Eastham town,19295,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastham town, Barnstable County, Massachusetts",5060,4939,0,0,121,0,0,0,0,0,"Eastham town, Barnstable County, Massachusetts",17,126,127,127,123,127,127,127,127,127
G250001023105,2006-2010,,,Massachusetts,25,Barnstable County,1,Falmouth town,23105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Falmouth town, Barnstable County, Massachusetts",31796,29426,642,71,813,0,138,706,93,613,"Falmouth town, Barnstable County, Massachusetts",27,544,300,62,313,127,120,321,72,297
G250001029020,2006-2010,,,Massachusetts,25,Barnstable County,1,Harwich town,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harwich town, Barnstable County, Massachusetts",12291,11696,54,0,151,0,212,178,63,115,"Harwich town, Barnstable County, Massachusetts",19,253,80,127,135,127,174,131,65,111
G250001039100,2006-2010,,,Massachusetts,25,Barnstable County,1,Mashpee town,39100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mashpee town, Barnstable County, Massachusetts",13850,12981,118,313,81,0,91,266,16,250,"Mashpee town, Barnstable County, Massachusetts",22,291,67,237,69,127,84,153,26,160
G250001051440,2006-2010,,,Massachusetts,25,Barnstable County,1,Orleans town,51440,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orleans town, Barnstable County, Massachusetts",5981,5878,0,0,75,0,28,0,0,0,"Orleans town, Barnstable County, Massachusetts",23,83,127,127,73,127,40,127,127,127
G250001055500,2006-2010,,,Massachusetts,25,Barnstable County,1,Provincetown town,55500,,,,,,,,,,,,,,,,,,,,,,,,,,,"Provincetown town, Barnstable County, Massachusetts",3039,2957,25,0,0,0,0,57,0,57,"Provincetown town, Barnstable County, Massachusetts",19,86,39,127,127,127,127,77,127,77
G250001059735,2006-2010,,,Massachusetts,25,Barnstable County,1,Sandwich town,59735,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandwich town, Barnstable County, Massachusetts",20628,19902,183,9,152,16,235,131,0,131,"Sandwich town, Barnstable County, Massachusetts",24,316,117,15,117,28,163,126,127,126
G250001070605,2006-2010,,,Massachusetts,25,Barnstable County,1,Truro town,70605,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truro town, Barnstable County, Massachusetts",1831,1813,0,18,0,0,0,0,0,0,"Truro town, Barnstable County, Massachusetts",251,257,127,31,127,127,127,127,127,127
G250001074385,2006-2010,,,Massachusetts,25,Barnstable County,1,Wellfleet town,74385,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wellfleet town, Barnstable County, Massachusetts",2946,2881,0,0,0,0,14,51,0,51,"Wellfleet town, Barnstable County, Massachusetts",251,247,127,127,127,127,23,54,127,54
G250001082525,2006-2010,,,Massachusetts,25,Barnstable County,1,Yarmouth town,82525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yarmouth town, Barnstable County, Massachusetts",24040,22649,389,54,177,0,221,550,53,497,"Yarmouth town, Barnstable County, Massachusetts",30,429,184,73,103,127,182,225,65,211
G250003000555,2006-2010,,,Massachusetts,25,Berkshire County,3,Adams town,555,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams town, Berkshire County, Massachusetts",8517,8162,54,29,79,0,13,180,0,180,"Adams town, Berkshire County, Massachusetts",19,160,51,24,68,127,19,116,127,116
G250003000975,2006-2010,,,Massachusetts,25,Berkshire County,3,Alford town,975,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alford town, Berkshire County, Massachusetts",432,424,2,0,3,0,0,3,0,3,"Alford town, Berkshire County, Massachusetts",60,59,3,127,4,127,127,4,127,4
G250003004545,2006-2010,,,Massachusetts,25,Berkshire County,3,Becket town,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becket town, Berkshire County, Massachusetts",1602,1544,0,0,40,0,0,18,0,18,"Becket town, Berkshire County, Massachusetts",205,198,127,127,51,127,127,33,127,33
G250003013345,2006-2010,,,Massachusetts,25,Berkshire County,3,Cheshire town,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheshire town, Berkshire County, Massachusetts",3255,3221,0,0,0,0,0,34,0,34,"Cheshire town, Berkshire County, Massachusetts",15,49,127,127,127,127,127,45,127,45
G250003014010,2006-2010,,,Massachusetts,25,Berkshire County,3,Clarksburg town,14010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksburg town, Berkshire County, Massachusetts",1886,1879,0,7,0,0,0,0,0,0,"Clarksburg town, Berkshire County, Massachusetts",140,140,127,12,127,127,127,127,127,127
G250003016180,2006-2010,,,Massachusetts,25,Berkshire County,3,Dalton town,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalton town, Berkshire County, Massachusetts",6761,6584,80,0,79,0,11,7,0,7,"Dalton town, Berkshire County, Massachusetts",20,126,86,127,93,127,18,11,127,11
